#########################
RELEASE DATE '+%Y-%m-%d'
Violations: 34
-----------------
ERROR:      34
WARN:       0
INFO:       0
Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	obo:cpo_0000039	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000039	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000039	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000039	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000017	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000017	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000017	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000017	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000016	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000016	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000016	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000016	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000038	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000038	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000038	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000038	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000019	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000019	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000019	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000018	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000018	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000018	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000018	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000031	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000031	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000031	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000031	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000030	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000030	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000030	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000030	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000052	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000052	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000052	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000052	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000033	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000033	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000033	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000033	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000011	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000011	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000011	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000011	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000011	obo:IAO_0000232		
ERROR	deprecated_class_reference	obo:cpo_0000010	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000010	obo:IAO_0000116		
ERROR	deprecated_class_reference	obo:cpo_0000010	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000010	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000010	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000010	obo:IAO_0000232		
ERROR	deprecated_class_reference	obo:cpo_0000032	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000032	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000032	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000032	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000035	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000035	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000035	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000035	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000013	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000013	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000013	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000013	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000013	obo:IAO_0000232		
ERROR	deprecated_class_reference	obo:cpo_0000034	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000034	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000034	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000034	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000034	obo:IAO_0000232		
ERROR	deprecated_class_reference	obo:cpo_0000037	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000037	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000037	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000037	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000014	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000014	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000014	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000014	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000036	obo:IAO_0000119		
ERROR	deprecated_class_reference	obo:cpo_0000036	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000036	obo:IAO_0000117		
ERROR	deprecated_class_reference	obo:cpo_0000036	obo:IAO_0000115		
ERROR	deprecated_class_reference	obo:cpo_0000040	rdfs:label		
ERROR	deprecated_class_reference	obo:cpo_0000040	obo:IAO_0000117		
